,Brands,type_,year,car_age,km,fuel,Prices,owner,downpayments
88,Toyota,Etios,2012,10,45094.0,Petrol,253899,2nd,4964
89,Maruti,Celerio,2017,5,33567.0,Petrol,375899,1st,7349
90,Hyundai,Elite,2015,7,6880.0,Petrol,577799,1st,11296
91,Maruti,Wagon,2016,6,39225.0,Petrol,305399,2nd,5971
92,Maruti,Alto,2015,7,24432.0,Petrol,254399,1st,4974
93,Renault,Kwid,2020,2,36551.0,Petrol,421199,1st,8235
94,Maruti,Baleno,2016,6,29068.0,Petrol,511799,1st,10006
95,Maruti,Alto,2015,7,43764.0,Petrol,241321,1st,4718
96,KIA,SELTOS,2019,3,7946.0,Petrol,1022999,1st,20000
97,Maruti,Dzire,2018,4,8242.0,Diesel,705899,2nd,13800
98,Maruti,Celerio,2018,4,17885.0,Petrol,426799,1st,8344
99,Honda,Brio,2013,9,42217.0,Petrol,286899,2nd,5609
100,MG,HECTOR,2020,2,6707.0,Petrol,1570899,1st,30711
101,Hyundai,Santro,2013,9,27748.0,Petrol,206799,1st,4043
102,KIA,SELTOS,2019,3,15503.0,Petrol,1508899,1st,29499
103,Maruti,Baleno,2016,6,36021.0,Petrol,478899,1st,9363
104,Maruti,Swift,2018,4,28502.0,Petrol,552999,1st,10811
105,Maruti,Alto,2014,8,20114.0,Petrol,266999,1st,5220
106,Hyundai,i10,2013,9,52004.0,Petrol,272499,2nd,5327
107,Hyundai,Verna,2011,11,58939.0,Petrol,371599,2nd,7265
108,Toyota,Etios,2012,10,45094.0,Petrol,253899,2nd,4964
109,Maruti,Celerio,2017,5,33567.0,Petrol,375899,1st,7349
110,Hyundai,Elite,2015,7,6880.0,Petrol,577799,1st,11296
111,Maruti,Wagon,2016,6,39225.0,Petrol,305399,2nd,5971
112,Maruti,Alto,2015,7,24432.0,Petrol,254399,1st,4974
113,Renault,Kwid,2020,2,36551.0,Petrol,421199,1st,8235
114,Maruti,Baleno,2016,6,29068.0,Petrol,511799,1st,10006
115,Maruti,Alto,2015,7,43764.0,Petrol,241321,1st,4718
116,KIA,SELTOS,2019,3,7946.0,Petrol,1022999,1st,20000
117,Maruti,Dzire,2018,4,8242.0,Diesel,705899,2nd,13800
118,Maruti,Celerio,2018,4,17885.0,Petrol,426799,1st,8344
119,Honda,Brio,2013,9,42217.0,Petrol,286899,2nd,5609
120,MG,HECTOR,2020,2,6707.0,Petrol,1570899,1st,30711
121,Hyundai,Santro,2013,9,27748.0,Petrol,206799,1st,4043
122,KIA,SELTOS,2019,3,15503.0,Petrol,1508899,1st,29499
123,Maruti,Baleno,2016,6,36021.0,Petrol,478899,1st,9363
124,Maruti,Swift,2018,4,28502.0,Petrol,552999,1st,10811
125,Maruti,Alto,2014,8,20114.0,Petrol,266999,1st,5220
126,Hyundai,i10,2013,9,52004.0,Petrol,272499,2nd,5327
127,Hyundai,Verna,2011,11,58939.0,Petrol,371599,2nd,7265
