,Brands,type_,year,car_age,km,fuel,Prices,owner,downpayments
383,Maruti,Baleno,2016,6,36021.0,Petrol,478899,1st,9363
384,Maruti,Swift,2018,4,28502.0,Petrol,552999,1st,10811
385,Maruti,Alto,2014,8,20114.0,Petrol,266999,1st,5220
386,Hyundai,i10,2013,9,52004.0,Petrol,272499,2nd,5327
387,Hyundai,Verna,2011,11,58939.0,Petrol,371599,2nd,7265
388,Toyota,Etios,2012,10,45094.0,Petrol,253899,2nd,4964
389,Maruti,Celerio,2017,5,33567.0,Petrol,375899,1st,7349
390,Hyundai,Elite,2015,7,6880.0,Petrol,577799,1st,11296
391,Maruti,Wagon,2016,6,39225.0,Petrol,305399,2nd,5971
392,Maruti,Alto,2015,7,24432.0,Petrol,254399,1st,4974
393,Renault,Kwid,2020,2,36551.0,Petrol,421199,1st,8235
394,Maruti,Baleno,2016,6,29068.0,Petrol,511799,1st,10006
395,Maruti,Alto,2015,7,43764.0,Petrol,241321,1st,4718
396,KIA,SELTOS,2019,3,7946.0,Petrol,1022999,1st,20000
397,Maruti,Dzire,2018,4,8242.0,Diesel,705899,2nd,13800
398,Maruti,Celerio,2018,4,17885.0,Petrol,426799,1st,8344
399,Honda,Brio,2013,9,42217.0,Petrol,286899,2nd,5609
400,MG,HECTOR,2020,2,6707.0,Petrol,1570899,1st,30711
401,Hyundai,Santro,2013,9,27748.0,Petrol,206799,1st,4043
402,KIA,SELTOS,2019,3,15503.0,Petrol,1508899,1st,29499
403,Maruti,Baleno,2016,6,36021.0,Petrol,478899,1st,9363
404,Maruti,Swift,2018,4,28502.0,Petrol,552999,1st,10811
405,Maruti,Alto,2014,8,20114.0,Petrol,266999,1st,5220
406,Hyundai,i10,2013,9,52004.0,Petrol,272499,2nd,5327
407,Hyundai,Verna,2011,11,58939.0,Petrol,371599,2nd,7265
408,Toyota,Etios,2012,10,45094.0,Petrol,253899,2nd,4964
409,Maruti,Celerio,2017,5,33567.0,Petrol,375899,1st,7349
410,Hyundai,Elite,2015,7,6880.0,Petrol,577799,1st,11296
411,Maruti,Wagon,2016,6,39225.0,Petrol,305399,2nd,5971
412,Maruti,Alto,2015,7,24432.0,Petrol,254399,1st,4974
413,Renault,Kwid,2020,2,36551.0,Petrol,421199,1st,8235
414,Maruti,Baleno,2016,6,29068.0,Petrol,511799,1st,10006
415,Maruti,Alto,2015,7,43764.0,Petrol,241321,1st,4718
416,KIA,SELTOS,2019,3,7946.0,Petrol,1022999,1st,20000
417,Maruti,Dzire,2018,4,8242.0,Diesel,705899,2nd,13800
418,Maruti,Celerio,2018,4,17885.0,Petrol,426799,1st,8344
419,Honda,Brio,2013,9,42217.0,Petrol,286899,2nd,5609
420,MG,HECTOR,2020,2,6707.0,Petrol,1570899,1st,30711
421,Hyundai,Santro,2013,9,27748.0,Petrol,206799,1st,4043
422,KIA,SELTOS,2019,3,15503.0,Petrol,1508899,1st,29499
423,Maruti,Baleno,2016,6,36021.0,Petrol,478899,1st,9363
424,Maruti,Swift,2018,4,28502.0,Petrol,552999,1st,10811
425,Maruti,Alto,2014,8,20114.0,Petrol,266999,1st,5220
426,Hyundai,i10,2013,9,52004.0,Petrol,272499,2nd,5327
427,Hyundai,Verna,2011,11,58939.0,Petrol,371599,2nd,7265
428,Toyota,Etios,2012,10,45094.0,Petrol,253899,2nd,4964
429,Maruti,Celerio,2017,5,33567.0,Petrol,375899,1st,7349
430,Hyundai,Elite,2015,7,6880.0,Petrol,577799,1st,11296
431,Maruti,Wagon,2016,6,39225.0,Petrol,305399,2nd,5971
432,Maruti,Alto,2015,7,24432.0,Petrol,254399,1st,4974
433,Renault,Kwid,2020,2,36551.0,Petrol,421199,1st,8235
434,Maruti,Baleno,2016,6,29068.0,Petrol,511799,1st,10006
435,Maruti,Alto,2015,7,43764.0,Petrol,241321,1st,4718
436,KIA,SELTOS,2019,3,7946.0,Petrol,1022999,1st,20000
437,Maruti,Dzire,2018,4,8242.0,Diesel,705899,2nd,13800
438,Maruti,Celerio,2018,4,17885.0,Petrol,426799,1st,8344
439,Honda,Brio,2013,9,42217.0,Petrol,286899,2nd,5609
440,MG,HECTOR,2020,2,6707.0,Petrol,1570899,1st,30711
441,Hyundai,Santro,2013,9,27748.0,Petrol,206799,1st,4043
442,KIA,SELTOS,2019,3,15503.0,Petrol,1508899,1st,29499
443,Maruti,Baleno,2016,6,36021.0,Petrol,478899,1st,9363
444,Maruti,Swift,2018,4,28502.0,Petrol,552999,1st,10811
445,Maruti,Alto,2014,8,20114.0,Petrol,266999,1st,5220
446,Hyundai,i10,2013,9,52004.0,Petrol,272499,2nd,5327
447,Hyundai,Verna,2011,11,58939.0,Petrol,371599,2nd,7265
448,Toyota,Etios,2012,10,45094.0,Petrol,253899,2nd,4964
449,Maruti,Celerio,2017,5,33567.0,Petrol,375899,1st,7349
450,Hyundai,Elite,2015,7,6880.0,Petrol,577799,1st,11296
451,Maruti,Wagon,2016,6,39225.0,Petrol,305399,2nd,5971
452,Maruti,Alto,2015,7,24432.0,Petrol,254399,1st,4974
453,Renault,Kwid,2020,2,36551.0,Petrol,421199,1st,8235
454,Maruti,Baleno,2016,6,29068.0,Petrol,511799,1st,10006
455,Maruti,Alto,2015,7,43764.0,Petrol,241321,1st,4718
456,KIA,SELTOS,2019,3,7946.0,Petrol,1022999,1st,20000
457,Maruti,Dzire,2018,4,8242.0,Diesel,705899,2nd,13800
458,Maruti,Celerio,2018,4,17885.0,Petrol,426799,1st,8344
459,Honda,Brio,2013,9,42217.0,Petrol,286899,2nd,5609
460,MG,HECTOR,2020,2,6707.0,Petrol,1570899,1st,30711
461,Hyundai,Santro,2013,9,27748.0,Petrol,206799,1st,4043
462,KIA,SELTOS,2019,3,15503.0,Petrol,1508899,1st,29499
463,Maruti,Baleno,2016,6,36021.0,Petrol,478899,1st,9363
464,Maruti,Swift,2018,4,28502.0,Petrol,552999,1st,10811
465,Maruti,Alto,2014,8,20114.0,Petrol,266999,1st,5220
466,Hyundai,i10,2013,9,52004.0,Petrol,272499,2nd,5327
467,Hyundai,Verna,2011,11,58939.0,Petrol,371599,2nd,7265
468,Toyota,Etios,2012,10,45094.0,Petrol,253899,2nd,4964
469,Maruti,Celerio,2017,5,33567.0,Petrol,375899,1st,7349
470,Hyundai,Elite,2015,7,6880.0,Petrol,577799,1st,11296
471,Maruti,Wagon,2016,6,39225.0,Petrol,305399,2nd,5971
472,Maruti,Alto,2015,7,24432.0,Petrol,254399,1st,4974
473,Renault,Kwid,2020,2,36551.0,Petrol,421199,1st,8235
474,Maruti,Baleno,2016,6,29068.0,Petrol,511799,1st,10006
475,Maruti,Alto,2015,7,43764.0,Petrol,241321,1st,4718
476,KIA,SELTOS,2019,3,7946.0,Petrol,1022999,1st,20000
477,Maruti,Dzire,2018,4,8242.0,Diesel,705899,2nd,13800
478,Maruti,Celerio,2018,4,17885.0,Petrol,426799,1st,8344
479,Honda,Brio,2013,9,42217.0,Petrol,286899,2nd,5609
480,MG,HECTOR,2020,2,6707.0,Petrol,1570899,1st,30711
481,Hyundai,Santro,2013,9,27748.0,Petrol,206799,1st,4043
482,KIA,SELTOS,2019,3,15503.0,Petrol,1508899,1st,29499
483,Maruti,Baleno,2016,6,36021.0,Petrol,478899,1st,9363
484,Maruti,Swift,2018,4,28502.0,Petrol,552999,1st,10811
485,Maruti,Alto,2014,8,20114.0,Petrol,266999,1st,5220
486,Hyundai,i10,2013,9,52004.0,Petrol,272499,2nd,5327
487,Hyundai,Verna,2011,11,58939.0,Petrol,371599,2nd,7265
488,Toyota,Etios,2012,10,45094.0,Petrol,253899,2nd,4964
489,Maruti,Celerio,2017,5,33567.0,Petrol,375899,1st,7349
490,Hyundai,Elite,2015,7,6880.0,Petrol,577799,1st,11296
491,Maruti,Wagon,2016,6,39225.0,Petrol,305399,2nd,5971
492,Maruti,Alto,2015,7,24432.0,Petrol,254399,1st,4974
493,Renault,Kwid,2020,2,36551.0,Petrol,421199,1st,8235
494,Maruti,Baleno,2016,6,29068.0,Petrol,511799,1st,10006
495,Maruti,Alto,2015,7,43764.0,Petrol,241321,1st,4718
496,KIA,SELTOS,2019,3,7946.0,Petrol,1022999,1st,20000
497,Maruti,Dzire,2018,4,8242.0,Diesel,705899,2nd,13800
498,Maruti,Celerio,2018,4,17885.0,Petrol,426799,1st,8344
499,Honda,Brio,2013,9,42217.0,Petrol,286899,2nd,5609
